Country	Current Downloads	Top 50 Target	Top 20 Target	Top 10 Target	Top 5 Target

Australia	206	58	214	332	489
Austria	16	22	93	150	215
Brazil	87	1979	9992	17140	27334
Canada	411	71	293	470	712
Denmark	19	6	21	31	55
Finland	16	6	29	50	74
France	202	300	1091	1677	2872
Germany	186	278	985	1501	2694
Ireland	37	8	31	48	94
Italy	210	220	920	1483	3154
Mexico	276	3772	11809	17275	26998
New Zealand	47	8	35	57	97
Norway	23	10	36	54	93
Portugal	84	29	136	230	339
Romania	47	37	215	388	555
Spain	501	119	491	788	1163
Sweden	52	24	106	174	283
United Arab Emirates	491	90	291	431	530
United Kingdom (UK)	527	276	933	1400	3187
United States	2057	1293	4950	7744	11919
